strategy,category,subcategory,allocation_pct
"Multifactor 60 (ETF, QUSLGVMQ, B5YCRP)",Bonds,US Corporate Bond,9.1764
"Multifactor 60 (ETF, QUSLGVMQ, B5YCRP)",Bonds,Int'l Bond,6.808
"Multifactor 60 (ETF, QUSLGVMQ, B5YCRP)",Cash,,0.8745
"Multifactor 60 (ETF, QUSLGVMQ, B5YCRP)",Cash,Cash,0.2995
"Multifactor 60 (ETF, QUSLGVMQ, B5YCRP)",Cash,Money Market Taxable,0.575
Multifactor 60 TM (ETF),Equity,,60.0
Multifactor 60 TM (ETF),Equity,US Large Cap Core,21.1183
Multifactor 60 TM (ETF),Equity,US Real Estate,0.978
Multifactor 60 TM (ETF),Equity,US Sector Equity,13.5806
Multifactor 60 TM (ETF),Equity,US Mid Cap Core,2.1224
Multifactor 60 TM (ETF),Equity,US Small Cap Core,6.5973
Multifactor 60 TM (ETF),Equity,Int'l Developed Core,6.2977
Multifactor 60 TM (ETF),Equity,Int'l Developed Small/Mid Cap,3.4263
Multifactor 60 TM (ETF),Equity,Emerging Markets Core,5.8793
Multifactor 60 TM (ETF),Bonds,,39.1255
Multifactor 60 TM (ETF),Bonds,US Aggregate Bond,17.4917
Multifactor 60 TM (ETF),Bonds,US Treasury,5.6494
Multifactor 60 TM (ETF),Bonds,US Corporate Bond,9.1764
Multifactor 60 TM (ETF),Bonds,Int'l Bond,6.808
Multifactor 60 TM (ETF),Cash,,0.8745
Multifactor 60 TM (ETF),Cash,Cash,0.2995
Multifactor 60 TM (ETF),Cash,Money Market Taxable,0.575
"Multifactor 60 TM (ETF, All Weather)",Equity,,60.0
"Multifactor 60 TM (ETF, All Weather)",Equity,US Large Cap Core,20.2103
"Multifactor 60 TM (ETF, All Weather)",Equity,US Real Estate,0.8742
"Multifactor 60 TM (ETF, All Weather)",Equity,US Sector Equity,11.9387
"Multifactor 60 TM (ETF, All Weather)",Equity,US Mid Cap Core,2.1686
"Multifactor 60 TM (ETF, All Weather)",Equity,US Small Cap Core,6.4348
"Multifactor 60 TM (ETF, All Weather)",Equity,Int'l Developed Core,8.9614
"Multifactor 60 TM (ETF, All Weather)",Equity,Int'l Developed Small/Mid Cap,3.0036
"Multifactor 60 TM (ETF, All Weather)",Equity,Emerging Markets Core,6.4085
"Multifactor 60 TM (ETF, All Weather)",Bonds,,34.4257
"Multifactor 60 TM (ETF, All Weather)",Bonds,US Aggregate Bond,13.7925
"Multifactor 60 TM (ETF, All Weather)",Bonds,US Treasury,8.4729
"Multifactor 60 TM (ETF, All Weather)",Bonds,US Corporate Bond,8.0014
"Multifactor 60 TM (ETF, All Weather)",Bonds,Int'l Bond,4.1589
"Multifactor 60 TM (ETF, All Weather)",Alternative,,4.1236
"Multifactor 60 TM (ETF, All Weather)",Alternative,Private Credit,4.1236
"Multifactor 60 TM (ETF, All Weather)",Cash,,1.4507
"Multifactor 60 TM (ETF, All Weather)",Cash,Cash,0.488
"Multifactor 60 TM (ETF, All Weather)",Cash,Money Market Taxable,0.9627
"Multifactor 60 TM (ETF, N7YMUN)",Equity,,60.0
"Multifactor 60 TM (ETF, N7YMUN)",Equity,US Large Cap Core,21.1183
"Multifactor 60 TM (ETF, N7YMUN)",Equity,US Real Estate,0.978
"Multifactor 60 TM (ETF, N7YMUN)",Equity,US Sector Equity,13.5806
"Multifactor 60 TM (ETF, N7YMUN)",Equity,US Mid Cap Core,2.1224
"Multifactor 60 TM (ETF, N7YMUN)",Equity,US Small Cap Core,6.5973
"Multifactor 60 TM (ETF, N7YMUN)",Equity,Int'l Developed Core,6.2977
"Multifactor 60 TM (ETF, N7YMUN)",Equity,Int'l Developed Small/Mid Cap,3.4263
"Multifactor 60 TM (ETF, N7YMUN)",Equity,Emerging Markets Core,5.8793
"Multifactor 60 TM (ETF, N7YMUN)",Bonds,,39.1255
"Multifactor 60 TM (ETF, N7YMUN)",Bonds,US Aggregate Bond,17.4917
"Multifactor 60 TM (ETF, N7YMUN)",Bonds,US Treasury,5.6494
"Multifactor 60 TM (ETF, N7YMUN)",Bonds,US Corporate Bond,9.1764
"Multifactor 60 TM (ETF, N7YMUN)",Bonds,Int'l Bond,6.808
"Multifactor 60 TM (ETF, N7YMUN)",Cash,,0.8745
"Multifactor 60 TM (ETF, N7YMUN)",Cash,Cash,0.2995
"Multifactor 60 TM (ETF, N7YMUN)",Cash,Money Market Taxable,0.575
"Multifactor 60 TM (ETF, QUSLGVMQ)",Equity,,60.0
"Multifactor 60 TM (ETF, QUSLGVMQ)",Equity,US Large Cap Core,21.1183
"Multifactor 60 TM (ETF, QUSLGVMQ)",Equity,US Real Estate,0.978
"Multifactor 60 TM (ETF, QUSLGVMQ)",Equity,US Sector Equity,13.5806
"Multifactor 60 TM (ETF, QUSLGVMQ)",Equity,US Mid Cap Core,2.1224
"Multifactor 60 TM (ETF, QUSLGVMQ)",Equity,US Small Cap Core,6.5973
"Multifactor 60 TM (ETF, QUSLGVMQ)",Equity,Int'l Developed Core,6.2977
"Multifactor 60 TM (ETF, QUSLGVMQ)",Equity,Int'l Developed Small/Mid Cap,3.4263
"Multifactor 60 TM (ETF, QUSLGVMQ)",Equity,Emerging Markets Core,5.8793
"Multifactor 60 TM (ETF, QUSLGVMQ)",Bonds,,39.1255
"Multifactor 60 TM (ETF, QUSLGVMQ)",Bonds,US Aggregate Bond,17.4917
"Multifactor 60 TM (ETF, QUSLGVMQ)",Bonds,US Treasury,5.6494
"Multifactor 60 TM (ETF, QUSLGVMQ)",Bonds,US Corporate Bond,9.1764
"Multifactor 60 TM (ETF, QUSLGVMQ)",Bonds,Int'l Bond,6.808
"Multifactor 60 TM (ETF, QUSLGVMQ)",Cash,,0.8745
"Multifactor 60 TM (ETF, QUSLGVMQ)",Cash,Cash,0.2995
"Multifactor 60 TM (ETF, QUSLGVMQ)",Cash,Money Market Taxable,0.575
"Multifactor 60 TM (ETF, QUSLGVMQ, N7YMUN)",Equity,,60.0
"Multifactor 60 TM (ETF, QUSLGVMQ, N7YMUN)",Equity,US Large Cap Core,21.1183
"Multifactor 60 TM (ETF, QUSLGVMQ, N7YMUN)",Equity,US Real Estate,0.978
"Multifactor 60 TM (ETF, QUSLGVMQ, N7YMUN)",Equity,US Sector Equity,13.5806
"Multifactor 60 TM (ETF, QUSLGVMQ, N7YMUN)",Equity,US Mid Cap Core,2.1224
"Multifactor 60 TM (ETF, QUSLGVMQ, N7YMUN)",Equity,US Small Cap Core,6.5973
"Multifactor 60 TM (ETF, QUSLGVMQ, N7YMUN)",Equity,Int'l Developed Core,6.2977
"Multifactor 60 TM (ETF, QUSLGVMQ, N7YMUN)",Equity,Int'l Developed Small/Mid Cap,3.4263
"Multifactor 60 TM (ETF, QUSLGVMQ, N7YMUN)",Equity,Emerging Markets Core,5.8793
"Multifactor 60 TM (ETF, QUSLGVMQ, N7YMUN)",Bonds,,39.1255
"Multifactor 60 TM (ETF, QUSLGVMQ, N7YMUN)",Bonds,US Aggregate Bond,17.4917
"Multifactor 60 TM (ETF, QUSLGVMQ, N7YMUN)",Bonds,US Treasury,5.6494
"Multifactor 60 TM (ETF, QUSLGVMQ, N7YMUN)",Bonds,US Corporate Bond,9.1764
"Multifactor 60 TM (ETF, QUSLGVMQ, N7YMUN)",Bonds,Int'l Bond,6.808
"Multifactor 60 TM (ETF, QUSLGVMQ, N7YMUN)",Cash,,0.8745
"Multifactor 60 TM (ETF, QUSLGVMQ, N7YMUN)",Cash,Cash,0.2995
"Multifactor 60 TM (ETF, QUSLGVMQ, N7YMUN)",Cash,Money Market Taxable,0.575
Multifactor 70 (ETF),Equity,,70.0
Multifactor 70 (ETF),Equity,US Large Cap Core,24.6381
Multifactor 70 (ETF),Equity,US Real Estate,1.141
Multifactor 70 (ETF),Equity,US Sector Equity,15.8441
Multifactor 70 (ETF),Equity,US Mid Cap Core,2.4762
Multifactor 70 (ETF),Equity,US Small Cap Core,7.6969
Multifactor 70 (ETF),Equity,Int'l Developed Core,7.3473
Multifactor 70 (ETF),Equity,Int'l Developed Small/Mid Cap,3.9973
Multifactor 70 (ETF),Equity,Emerging Markets Core,6.8592
Multifactor 70 (ETF),Bonds,,29.1255
Multifactor 70 (ETF),Bonds,US Aggregate Bond,13.021
Multifactor 70 (ETF),Bonds,US Treasury,4.2055
Multifactor 70 (ETF),Bonds,US Corporate Bond,6.831
Multifactor 70 (ETF),Bonds,Int'l Bond,5.068
Multifactor 70 (ETF),Cash,,0.8745
Multifactor 70 (ETF),Cash,Cash,0.2995
Multifactor 70 (ETF),Cash,Money Market Taxable,0.575
"Multifactor 70 (ETF, All Weather)",Equity,,70.0
"Multifactor 70 (ETF, All Weather)",Equity,US Large Cap Core,23.5786
"Multifactor 70 (ETF, All Weather)",Equity,US Real Estate,1.0199
"Multifactor 70 (ETF, All Weather)",Equity,US Sector Equity,13.9284
"Multifactor 70 (ETF, All Weather)",Equity,US Mid Cap Core,2.53
"Multifactor 70 (ETF, All Weather)",Equity,US Small Cap Core,7.5073
"Multifactor 70 (ETF, All Weather)",Equity,Int'l Developed Core,10.4549
"Multifactor 70 (ETF, All Weather)",Equity,Int'l Developed Small/Mid Cap,3.5042
"Multifactor 70 (ETF, All Weather)",Equity,Emerging Markets Core,7.4766
"Multifactor 70 (ETF, All Weather)",Bonds,,24.4257
"Multifactor 70 (ETF, All Weather)",Bonds,US Aggregate Bond,9.786
"Multifactor 70 (ETF, All Weather)",Bonds,US Treasury,6.0117
"Multifactor 70 (ETF, All Weather)",Bonds,US Corporate Bond,5.6771
"Multifactor 70 (ETF, All Weather)",Bonds,Int'l Bond,2.9508
"Multifactor 70 (ETF, All Weather)",Alternative,,4.1236
"Multifactor 70 (ETF, All Weather)",Alternative,Private Credit,4.1236
"Multifactor 70 (ETF, All Weather)",Cash,,1.4507
"Multifactor 70 (ETF, All Weather)",Cash,Cash,0.488
"Multifactor 70 (ETF, All Weather)",Cash,Money Market Taxable,0.9627
"Multifactor 70 (ETF, B5YCRP)",Equity,,70.0
"Multifactor 70 (ETF, B5YCRP)",Equity,US Large Cap Core,24.6381
"Multifactor 70 (ETF, B5YCRP)",Equity,US Real Estate,1.141
"Multifactor 70 (ETF, B5YCRP)",Equity,US Sector Equity,15.8441
"Multifactor 70 (ETF, B5YCRP)",Equity,US Mid Cap Core,2.4762
"Multifactor 70 (ETF, B5YCRP)",Equity,US Small Cap Core,7.6969
"Multifactor 70 (ETF, B5YCRP)",Equity,Int'l Developed Core,7.3473
"Multifactor 70 (ETF, B5YCRP)",Equity,Int'l Developed Small/Mid Cap,3.9973
"Multifactor 70 (ETF, B5YCRP)",Equity,Emerging Markets Core,6.8592
"Multifactor 70 (ETF, B5YCRP)",Bonds,,29.1255
"Multifactor 70 (ETF, B5YCRP)",Bonds,US Aggregate Bond,13.021
"Multifactor 70 (ETF, B5YCRP)",Bonds,US Treasury,4.2055
"Multifactor 70 (ETF, B5YCRP)",Bonds,US Corporate Bond,6.831
"Multifactor 70 (ETF, B5YCRP)",Bonds,Int'l Bond,5.068
"Multifactor 70 (ETF, B5YCRP)",Cash,,0.8745
"Multifactor 70 (ETF, B5YCRP)",Cash,Cash,0.2995
"Multifactor 70 (ETF, B5YCRP)",Cash,Money Market Taxable,0.575
"Multifactor 70 (ETF, QUSLGVMQ)",Equity,,70.0
"Multifactor 70 (ETF, QUSLGVMQ)",Equity,US Large Cap Core,24.6381
"Multifactor 70 (ETF, QUSLGVMQ)",Equity,US Real Estate,1.141
"Multifactor 70 (ETF, QUSLGVMQ)",Equity,US Sector Equity,15.8441
"Multifactor 70 (ETF, QUSLGVMQ)",Equity,US Mid Cap Core,2.4762
"Multifactor 70 (ETF, QUSLGVMQ)",Equity,US Small Cap Core,7.6969
"Multifactor 70 (ETF, QUSLGVMQ)",Equity,Int'l Developed Core,7.3473
"Multifactor 70 (ETF, QUSLGVMQ)",Equity,Int'l Developed Small/Mid Cap,3.9973
"Multifactor 70 (ETF, QUSLGVMQ)",Equity,Emerging Markets Core,6.8592
"Multifactor 70 (ETF, QUSLGVMQ)",Bonds,,29.1255
"Multifactor 70 (ETF, QUSLGVMQ)",Bonds,US Aggregate Bond,13.021
"Multifactor 70 (ETF, QUSLGVMQ)",Bonds,US Treasury,4.2055
"Multifactor 70 (ETF, QUSLGVMQ)",Bonds,US Corporate Bond,6.831
"Multifactor 70 (ETF, QUSLGVMQ)",Bonds,Int'l Bond,5.068
"Multifactor 70 (ETF, QUSLGVMQ)",Cash,,0.8745
"Multifactor 70 (ETF, QUSLGVMQ)",Cash,Cash,0.2995
"Multifactor 70 (ETF, QUSLGVMQ)",Cash,Money Market Taxable,0.575
"Multifactor 70 (ETF, QUSLGVMQ, B5YCRP)",Equity,,70.0
"Multifactor 70 (ETF, QUSLGVMQ, B5YCRP)",Equity,US Large Cap Core,24.6381
"Multifactor 70 (ETF, QUSLGVMQ, B5YCRP)",Equity,US Real Estate,1.141
"Multifactor 70 (ETF, QUSLGVMQ, B5YCRP)",Equity,US Sector Equity,15.8441
"Multifactor 70 (ETF, QUSLGVMQ, B5YCRP)",Equity,US Mid Cap Core,2.4762
"Multifactor 70 (ETF, QUSLGVMQ, B5YCRP)",Equity,US Small Cap Core,7.6969
"Multifactor 70 (ETF, QUSLGVMQ, B5YCRP)",Equity,Int'l Developed Core,7.3473
"Multifactor 70 (ETF, QUSLGVMQ, B5YCRP)",Equity,Int'l Developed Small/Mid Cap,3.9973
"Multifactor 70 (ETF, QUSLGVMQ, B5YCRP)",Equity,Emerging Markets Core,6.8592
"Multifactor 70 (ETF, QUSLGVMQ, B5YCRP)",Bonds,,29.1255
"Multifactor 70 (ETF, QUSLGVMQ, B5YCRP)",Bonds,US Aggregate Bond,13.021
"Multifactor 70 (ETF, QUSLGVMQ, B5YCRP)",Bonds,US Treasury,4.2055
"Multifactor 70 (ETF, QUSLGVMQ, B5YCRP)",Bonds,US Corporate Bond,6.831
"Multifactor 70 (ETF, QUSLGVMQ, B5YCRP)",Bonds,Int'l Bond,5.068
"Multifactor 70 (ETF, QUSLGVMQ, B5YCRP)",Cash,,0.8745
"Multifactor 70 (ETF, QUSLGVMQ, B5YCRP)",Cash,Cash,0.2995
"Multifactor 70 (ETF, QUSLGVMQ, B5YCRP)",Cash,Money Market Taxable,0.575
Multifactor 70 TM (ETF),Equity,,70.0
Multifactor 70 TM (ETF),Equity,US Large Cap Core,24.6381
Multifactor 70 TM (ETF),Equity,US Real Estate,1.141
Multifactor 70 TM (ETF),Equity,US Sector Equity,15.8441
Multifactor 70 TM (ETF),Equity,US Mid Cap Core,2.4762
Multifactor 70 TM (ETF),Equity,US Small Cap Core,7.6969
Multifactor 70 TM (ETF),Equity,Int'l Developed Core,7.3473
Multifactor 70 TM (ETF),Equity,Int'l Developed Small/Mid Cap,3.9973
Multifactor 70 TM (ETF),Equity,Emerging Markets Core,6.8592
Multifactor 70 TM (ETF),Bonds,,29.1255
Multifactor 70 TM (ETF),Bonds,US Aggregate Bond,13.021
Multifactor 70 TM (ETF),Bonds,US Treasury,4.2055
Multifactor 70 TM (ETF),Bonds,US Corporate Bond,6.831
Multifactor 70 TM (ETF),Bonds,Int'l Bond,5.068
Multifactor 70 TM (ETF),Cash,,0.8745
Multifactor 70 TM (ETF),Cash,Cash,0.2995
Multifactor 70 TM (ETF),Cash,Money Market Taxable,0.575
"Multifactor 70 TM (ETF, All Weather)",Equity,,70.0
"Multifactor 70 TM (ETF, All Weather)",Equity,US Large Cap Core,23.5786
"Multifactor 70 TM (ETF, All Weather)",Equity,US Real Estate,1.0199
"Multifactor 70 TM (ETF, All Weather)",Equity,US Sector Equity,13.9284
"Multifactor 70 TM (ETF, All Weather)",Equity,US Mid Cap Core,2.53
"Multifactor 70 TM (ETF, All Weather)",Equity,US Small Cap Core,7.5073
"Multifactor 70 TM (ETF, All Weather)",Equity,Int'l Developed Core,10.4549
"Multifactor 70 TM (ETF, All Weather)",Equity,Int'l Developed Small/Mid Cap,3.5042
"Multifactor 70 TM (ETF, All Weather)",Equity,Emerging Markets Core,7.4766
"Multifactor 70 TM (ETF, All Weather)",Bonds,,24.4257
"Multifactor 70 TM (ETF, All Weather)",Bonds,US Aggregate Bond,9.786
"Multifactor 70 TM (ETF, All Weather)",Bonds,US Treasury,6.0117
"Multifactor 70 TM (ETF, All Weather)",Bonds,US Corporate Bond,5.6771
"Multifactor 70 TM (ETF, All Weather)",Bonds,Int'l Bond,2.9508
"Multifactor 70 TM (ETF, All Weather)",Alternative,,4.1236
"Multifactor 70 TM (ETF, All Weather)",Alternative,Private Credit,4.1236
"Multifactor 70 TM (ETF, All Weather)",Cash,,1.4507
"Multifactor 70 TM (ETF, All Weather)",Cash,Cash,0.488
"Multifactor 70 TM (ETF, All Weather)",Cash,Money Market Taxable,0.9627
"Multifactor 70 TM (ETF, N7YMUN)",Equity,,70.0
"Multifactor 70 TM (ETF, N7YMUN)",Equity,US Large Cap Core,24.6381
"Multifactor 70 TM (ETF, N7YMUN)",Equity,US Real Estate,1.141
"Multifactor 70 TM (ETF, N7YMUN)",Equity,US Sector Equity,15.8441
"Multifactor 70 TM (ETF, N7YMUN)",Equity,US Mid Cap Core,2.4762
"Multifactor 70 TM (ETF, N7YMUN)",Equity,US Small Cap Core,7.6969
"Multifactor 70 TM (ETF, N7YMUN)",Equity,Int'l Developed Core,7.3473
"Multifactor 70 TM (ETF, N7YMUN)",Equity,Int'l Developed Small/Mid Cap,3.9973
"Multifactor 70 TM (ETF, N7YMUN)",Equity,Emerging Markets Core,6.8592
"Multifactor 70 TM (ETF, N7YMUN)",Bonds,,29.1255
"Multifactor 70 TM (ETF, N7YMUN)",Bonds,US Aggregate Bond,13.021
"Multifactor 70 TM (ETF, N7YMUN)",Bonds,US Treasury,4.2055
"Multifactor 70 TM (ETF, N7YMUN)",Bonds,US Corporate Bond,6.831
"Multifactor 70 TM (ETF, N7YMUN)",Bonds,Int'l Bond,5.068
"Multifactor 70 TM (ETF, N7YMUN)",Cash,,0.8745
"Multifactor 70 TM (ETF, N7YMUN)",Cash,Cash,0.2995
"Multifactor 70 TM (ETF, N7YMUN)",Cash,Money Market Taxable,0.575
"Multifactor 70 TM (ETF, QUSLGVMQ)",Equity,,70.0
"Multifactor 70 TM (ETF, QUSLGVMQ)",Equity,US Large Cap Core,24.6381
"Multifactor 70 TM (ETF, QUSLGVMQ)",Equity,US Real Estate,1.141
"Multifactor 70 TM (ETF, QUSLGVMQ)",Equity,US Sector Equity,15.8441
"Multifactor 70 TM (ETF, QUSLGVMQ)",Equity,US Mid Cap Core,2.4762
"Multifactor 70 TM (ETF, QUSLGVMQ)",Equity,US Small Cap Core,7.6969
"Multifactor 70 TM (ETF, QUSLGVMQ)",Equity,Int'l Developed Core,7.3473
"Multifactor 70 TM (ETF, QUSLGVMQ)",Equity,Int'l Developed Small/Mid Cap,3.9973
"Multifactor 70 TM (ETF, QUSLGVMQ)",Equity,Emerging Markets Core,6.8592
"Multifactor 70 TM (ETF, QUSLGVMQ)",Bonds,,29.1255
"Multifactor 70 TM (ETF, QUSLGVMQ)",Bonds,US Aggregate Bond,13.021
"Multifactor 70 TM (ETF, QUSLGVMQ)",Bonds,US Treasury,4.2055
"Multifactor 70 TM (ETF, QUSLGVMQ)",Bonds,US Corporate Bond,6.831
"Multifactor 70 TM (ETF, QUSLGVMQ)",Bonds,Int'l Bond,5.068
"Multifactor 70 TM (ETF, QUSLGVMQ)",Cash,,0.8745
"Multifactor 70 TM (ETF, QUSLGVMQ)",Cash,Cash,0.2995
"Multifactor 70 TM (ETF, QUSLGVMQ)",Cash,Money Market Taxable,0.575
"Multifactor 70 TM (ETF, QUSLGVMQ, N7YMUN)",Equity,,70.0
"Multifactor 70 TM (ETF, QUSLGVMQ, N7YMUN)",Equity,US Large Cap Core,24.6381
"Multifactor 70 TM (ETF, QUSLGVMQ, N7YMUN)",Equity,US Real Estate,1.141
"Multifactor 70 TM (ETF, QUSLGVMQ, N7YMUN)",Equity,US Sector Equity,15.8441
"Multifactor 70 TM (ETF, QUSLGVMQ, N7YMUN)",Equity,US Mid Cap Core,2.4762
"Multifactor 70 TM (ETF, QUSLGVMQ, N7YMUN)",Equity,US Small Cap Core,7.6969
"Multifactor 70 TM (ETF, QUSLGVMQ, N7YMUN)",Equity,Int'l Developed Core,7.3473
"Multifactor 70 TM (ETF, QUSLGVMQ, N7YMUN)",Equity,Int'l Developed Small/Mid Cap,3.9973
"Multifactor 70 TM (ETF, QUSLGVMQ, N7YMUN)",Equity,Emerging Markets Core,6.8592
"Multifactor 70 TM (ETF, QUSLGVMQ, N7YMUN)",Bonds,,29.1255
"Multifactor 70 TM (ETF, QUSLGVMQ, N7YMUN)",Bonds,US Aggregate Bond,13.021
"Multifactor 70 TM (ETF, QUSLGVMQ, N7YMUN)",Bonds,US Treasury,4.2055
"Multifactor 70 TM (ETF, QUSLGVMQ, N7YMUN)",Bonds,US Corporate Bond,6.831
"Multifactor 70 TM (ETF, QUSLGVMQ, N7YMUN)",Bonds,Int'l Bond,5.068
"Multifactor 70 TM (ETF, QUSLGVMQ, N7YMUN)",Cash,,0.8745
"Multifactor 70 TM (ETF, QUSLGVMQ, N7YMUN)",Cash,Cash,0.2995
"Multifactor 70 TM (ETF, QUSLGVMQ, N7YMUN)",Cash,Money Market Taxable,0.575
Multifactor 80 (ETF),Equity,,80.0
Multifactor 80 (ETF),Equity,US Large Cap Core,28.1578
Multifactor 80 (ETF),Equity,US Real Estate,1.304
Multifactor 80 (ETF),Equity,US Sector Equity,18.1075
Multifactor 80 (ETF),Equity,US Mid Cap Core,2.8299
Multifactor 80 (ETF),Equity,US Small Cap Core,8.7964
Multifactor 80 (ETF),Equity,Int'l Developed Core,8.397
Multifactor 80 (ETF),Equity,Int'l Developed Small/Mid Cap,4.5684
Multifactor 80 (ETF),Equity,Emerging Markets Core,7.839
Multifactor 80 (ETF),Bonds,,19.1255
Multifactor 80 (ETF),Bonds,US Aggregate Bond,8.5504
Multifactor 80 (ETF),Bonds,US Treasury,2.7615
Multifactor 80 (ETF),Bonds,US Corporate Bond,4.4856
Multifactor 80 (ETF),Bonds,Int'l Bond,3.3279
Multifactor 80 (ETF),Cash,,0.8745
Multifactor 80 (ETF),Cash,Cash,0.2995
Multifactor 80 (ETF),Cash,Money Market Taxable,0.575
"Multifactor 80 (ETF, All Weather)",Equity,,80.0
"Multifactor 80 (ETF, All Weather)",Equity,US Large Cap Core,26.947
"Multifactor 80 (ETF, All Weather)",Equity,US Real Estate,1.1656
"Multifactor 80 (ETF, All Weather)",Equity,US Sector Equity,15.9182
"Multifactor 80 (ETF, All Weather)",Equity,US Mid Cap Core,2.8915
"Multifactor 80 (ETF, All Weather)",Equity,US Small Cap Core,8.5797
"Multifactor 80 (ETF, All Weather)",Equity,Int'l Developed Core,11.9485
"Multifactor 80 (ETF, All Weather)",Equity,Int'l Developed Small/Mid Cap,4.0048
"Multifactor 80 (ETF, All Weather)",Equity,Emerging Markets Core,8.5447
"Multifactor 80 (ETF, All Weather)",Bonds,,14.4257
"Multifactor 80 (ETF, All Weather)",Bonds,US Aggregate Bond,5.7796
"Multifactor 80 (ETF, All Weather)",Bonds,US Treasury,3.5505
"Multifactor 80 (ETF, All Weather)",Bonds,US Corporate Bond,3.3529
"Multifactor 80 (ETF, All Weather)",Bonds,Int'l Bond,1.7427
"Multifactor 80 (ETF, All Weather)",Alternative,,4.1236
"Multifactor 80 (ETF, All Weather)",Alternative,Private Credit,4.1236
"Multifactor 80 (ETF, All Weather)",Cash,,1.4507
"Multifactor 80 (ETF, All Weather)",Cash,Cash,0.488
"Multifactor 80 (ETF, All Weather)",Cash,Money Market Taxable,0.9627
"Multifactor 80 (ETF, B5YCRP)",Equity,,80.0
"Multifactor 80 (ETF, B5YCRP)",Equity,US Large Cap Core,28.1578
"Multifactor 80 (ETF, B5YCRP)",Equity,US Real Estate,1.304
"Multifactor 80 (ETF, B5YCRP)",Equity,US Sector Equity,18.1075
"Multifactor 80 (ETF, B5YCRP)",Equity,US Mid Cap Core,2.8299
"Multifactor 80 (ETF, B5YCRP)",Equity,US Small Cap Core,8.7964
"Multifactor 80 (ETF, B5YCRP)",Equity,Int'l Developed Core,8.397
"Multifactor 80 (ETF, B5YCRP)",Equity,Int'l Developed Small/Mid Cap,4.5684
"Multifactor 80 (ETF, B5YCRP)",Equity,Emerging Markets Core,7.839
"Multifactor 80 (ETF, B5YCRP)",Bonds,,19.1255
"Multifactor 80 (ETF, B5YCRP)",Bonds,US Aggregate Bond,8.5504
"Multifactor 80 (ETF, B5YCRP)",Bonds,US Treasury,2.7615
"Multifactor 80 (ETF, B5YCRP)",Bonds,US Corporate Bond,4.4856
"Multifactor 80 (ETF, B5YCRP)",Bonds,Int'l Bond,3.3279
"Multifactor 80 (ETF, B5YCRP)",Cash,,0.8745
"Multifactor 80 (ETF, B5YCRP)",Cash,Cash,0.2995
"Multifactor 80 (ETF, B5YCRP)",Cash,Money Market Taxable,0.575
"Multifactor 80 (ETF, QUSLGVMQ)",Equity,,80.0
"Multifactor 80 (ETF, QUSLGVMQ)",Equity,US Large Cap Core,28.1578
"Multifactor 80 (ETF, QUSLGVMQ)",Equity,US Real Estate,1.304
"Multifactor 80 (ETF, QUSLGVMQ)",Equity,US Sector Equity,18.1075
"Multifactor 80 (ETF, QUSLGVMQ)",Equity,US Mid Cap Core,2.8299
"Multifactor 80 (ETF, QUSLGVMQ)",Equity,US Small Cap Core,8.7964
"Multifactor 80 (ETF, QUSLGVMQ)",Equity,Int'l Developed Core,8.397
"Multifactor 80 (ETF, QUSLGVMQ)",Equity,Int'l Developed Small/Mid Cap,4.5684
"Multifactor 80 (ETF, QUSLGVMQ)",Equity,Emerging Markets Core,7.839
"Multifactor 80 (ETF, QUSLGVMQ)",Bonds,,19.1255
"Multifactor 80 (ETF, QUSLGVMQ)",Bonds,US Aggregate Bond,8.5504
"Multifactor 80 (ETF, QUSLGVMQ)",Bonds,US Treasury,2.7615
"Multifactor 80 (ETF, QUSLGVMQ)",Bonds,US Corporate Bond,4.4856
"Multifactor 80 (ETF, QUSLGVMQ)",Bonds,Int'l Bond,3.3279
"Multifactor 80 (ETF, QUSLGVMQ)",Cash,,0.8745
"Multifactor 80 (ETF, QUSLGVMQ)",Cash,Cash,0.2995
"Multifactor 80 (ETF, QUSLGVMQ)",Cash,Money Market Taxable,0.575
"Multifactor 80 (ETF, QUSLGVMQ, B5YCRP)",Equity,,80.0
"Multifactor 80 (ETF, QUSLGVMQ, B5YCRP)",Equity,US Large Cap Core,28.1578
"Multifactor 80 (ETF, QUSLGVMQ, B5YCRP)",Equity,US Real Estate,1.304
"Multifactor 80 (ETF, QUSLGVMQ, B5YCRP)",Equity,US Sector Equity,18.1075
"Multifactor 80 (ETF, QUSLGVMQ, B5YCRP)",Equity,US Mid Cap Core,2.8299
"Multifactor 80 (ETF, QUSLGVMQ, B5YCRP)",Equity,US Small Cap Core,8.7964
"Multifactor 80 (ETF, QUSLGVMQ, B5YCRP)",Equity,Int'l Developed Core,8.397
"Multifactor 80 (ETF, QUSLGVMQ, B5YCRP)",Equity,Int'l Developed Small/Mid Cap,4.5684
"Multifactor 80 (ETF, QUSLGVMQ, B5YCRP)",Equity,Emerging Markets Core,7.839
"Multifactor 80 (ETF, QUSLGVMQ, B5YCRP)",Bonds,,19.1255
"Multifactor 80 (ETF, QUSLGVMQ, B5YCRP)",Bonds,US Aggregate Bond,8.5504
"Multifactor 80 (ETF, QUSLGVMQ, B5YCRP)",Bonds,US Treasury,2.7615
"Multifactor 80 (ETF, QUSLGVMQ, B5YCRP)",Bonds,US Corporate Bond,4.4856
"Multifactor 80 (ETF, QUSLGVMQ, B5YCRP)",Bonds,Int'l Bond,3.3279
