strategy,asset_1,asset_2,correlation
Blended - 00091,Int'l Equity,Real Estate,0.5334
Blended - 00091,Int'l Equity,Commodities,0.4148
Blended - 00091,US Bonds,US Equity,
Blended - 00091,US Bonds,Int'l Equity,
Blended - 00091,US Bonds,US Bonds,1.0
Blended - 00091,US Bonds,Real Estate,0.2081
Blended - 00091,US Bonds,Commodities,-0.1037
Blended - 00091,Real Estate,US Equity,0.5856
Blended - 00091,Real Estate,Int'l Equity,0.5334
Blended - 00091,Real Estate,US Bonds,0.2081
Blended - 00091,Real Estate,Real Estate,1.0
Blended - 00091,Real Estate,Commodities,0.3082
Blended - 00091,Commodities,US Equity,0.3063
Blended - 00091,Commodities,Int'l Equity,0.4148
Blended - 00091,Commodities,US Bonds,-0.1037
Blended - 00091,Commodities,Real Estate,0.3082
Blended - 00091,Commodities,Commodities,1.0
Blended - 00092,US Equity,US Equity,1.0
Blended - 00092,US Equity,Int'l Equity,0.8332
Blended - 00092,US Equity,US Bonds,
Blended - 00092,US Equity,Real Estate,0.5981
Blended - 00092,US Equity,Commodities,0.3359
Blended - 00092,Int'l Equity,US Equity,0.8332
Blended - 00092,Int'l Equity,Int'l Equity,1.0
Blended - 00092,Int'l Equity,US Bonds,
Blended - 00092,Int'l Equity,Real Estate,0.5206
Blended - 00092,Int'l Equity,Commodities,0.3772
Blended - 00092,US Bonds,US Equity,
Blended - 00092,US Bonds,Int'l Equity,
Blended - 00092,US Bonds,US Bonds,1.0
Blended - 00092,US Bonds,Real Estate,0.2448
Blended - 00092,US Bonds,Commodities,-0.1081
Blended - 00092,Real Estate,US Equity,0.5981
Blended - 00092,Real Estate,Int'l Equity,0.5206
Blended - 00092,Real Estate,US Bonds,0.2448
Blended - 00092,Real Estate,Real Estate,1.0
Blended - 00092,Real Estate,Commodities,0.2891
Blended - 00092,Commodities,US Equity,0.3359
Blended - 00092,Commodities,Int'l Equity,0.3772
Blended - 00092,Commodities,US Bonds,-0.1081
Blended - 00092,Commodities,Real Estate,0.2891
Blended - 00092,Commodities,Commodities,1.0
Blended - 00093,US Equity,US Equity,1.0
Blended - 00093,US Equity,Int'l Equity,0.8314
Blended - 00093,US Equity,US Bonds,
Blended - 00093,US Equity,Real Estate,0.5916
Blended - 00093,US Equity,Commodities,0.308
Blended - 00093,Int'l Equity,US Equity,0.8314
Blended - 00093,Int'l Equity,Int'l Equity,1.0
Blended - 00093,Int'l Equity,US Bonds,
Blended - 00093,Int'l Equity,Real Estate,0.5358
Blended - 00093,Int'l Equity,Commodities,0.4115
Blended - 00093,US Bonds,US Equity,
Blended - 00093,US Bonds,Int'l Equity,
Blended - 00093,US Bonds,US Bonds,1.0
Blended - 00093,US Bonds,Real Estate,0.2091
Blended - 00093,US Bonds,Commodities,-0.0951
Blended - 00093,Real Estate,US Equity,0.5916
Blended - 00093,Real Estate,Int'l Equity,0.5358
Blended - 00093,Real Estate,US Bonds,0.2091
Blended - 00093,Real Estate,Real Estate,1.0
Blended - 00093,Real Estate,Commodities,0.3016
Blended - 00093,Commodities,US Equity,0.308
Blended - 00093,Commodities,Int'l Equity,0.4115
Blended - 00093,Commodities,US Bonds,-0.0951
Blended - 00093,Commodities,Real Estate,0.3016
Blended - 00093,Commodities,Commodities,1.0
Blended - 00095,US Equity,US Equity,1.0
Blended - 00095,US Equity,Int'l Equity,0.8253
Blended - 00095,US Equity,US Bonds,
Blended - 00095,US Equity,Real Estate,0.5847
Blended - 00095,US Equity,Commodities,0.3403
Blended - 00095,Int'l Equity,US Equity,0.8253
Blended - 00095,Int'l Equity,Int'l Equity,1.0
Blended - 00095,Int'l Equity,US Bonds,
Blended - 00095,Int'l Equity,Real Estate,0.5277
Blended - 00095,Int'l Equity,Commodities,0.3646
Blended - 00095,US Bonds,US Equity,
Blended - 00095,US Bonds,Int'l Equity,
Blended - 00095,US Bonds,US Bonds,1.0
Blended - 00095,US Bonds,Real Estate,0.2005
Blended - 00095,US Bonds,Commodities,-0.1085
Blended - 00095,Real Estate,US Equity,0.5847
Blended - 00095,Real Estate,Int'l Equity,0.5277
Blended - 00095,Real Estate,US Bonds,0.2005
Blended - 00095,Real Estate,Real Estate,1.0
Blended - 00095,Real Estate,Commodities,0.3171
Blended - 00095,Commodities,US Equity,0.3403
Blended - 00095,Commodities,Int'l Equity,0.3646
Blended - 00095,Commodities,US Bonds,-0.1085
Blended - 00095,Commodities,Real Estate,0.3171
Blended - 00095,Commodities,Commodities,1.0
Blended - 00096,US Equity,US Equity,1.0
Blended - 00096,US Equity,Int'l Equity,0.8014
Blended - 00096,US Equity,US Bonds,
Blended - 00096,US Equity,Real Estate,0.5983
Blended - 00096,US Equity,Commodities,0.3042
Blended - 00096,Int'l Equity,US Equity,0.8014
Blended - 00096,Int'l Equity,Int'l Equity,1.0
Blended - 00096,Int'l Equity,US Bonds,
Blended - 00096,Int'l Equity,Real Estate,0.5103
Blended - 00096,Int'l Equity,Commodities,0.3498
Blended - 00096,US Bonds,US Equity,
Blended - 00096,US Bonds,Int'l Equity,
Blended - 00096,US Bonds,US Bonds,1.0
Blended - 00096,US Bonds,Real Estate,0.2202
Blended - 00096,US Bonds,Commodities,-0.1093
Blended - 00096,Real Estate,US Equity,0.5983
Blended - 00096,Real Estate,Int'l Equity,0.5103
Blended - 00096,Real Estate,US Bonds,0.2202
Blended - 00096,Real Estate,Real Estate,1.0
Blended - 00096,Real Estate,Commodities,0.271
Blended - 00096,Commodities,US Equity,0.3042
Blended - 00096,Commodities,Int'l Equity,0.3498
Blended - 00096,Commodities,US Bonds,-0.1093
Blended - 00096,Commodities,Real Estate,0.271
Blended - 00096,Commodities,Commodities,1.0
Blended - 00097,US Equity,US Equity,1.0
Blended - 00097,US Equity,Int'l Equity,0.7924
Blended - 00097,US Equity,US Bonds,
Blended - 00097,US Equity,Real Estate,0.5878
Blended - 00097,US Equity,Commodities,0.3007
Blended - 00097,Int'l Equity,US Equity,0.7924
Blended - 00097,Int'l Equity,Int'l Equity,1.0
Blended - 00097,Int'l Equity,US Bonds,
Blended - 00097,Int'l Equity,Real Estate,0.5126
Blended - 00097,Int'l Equity,Commodities,0.3607
Blended - 00097,US Bonds,US Equity,
Blended - 00097,US Bonds,Int'l Equity,
Blended - 00097,US Bonds,US Bonds,1.0
Blended - 00097,US Bonds,Real Estate,0.2241
Blended - 00097,US Bonds,Commodities,-0.0746
Blended - 00097,Real Estate,US Equity,0.5878
Blended - 00097,Real Estate,Int'l Equity,0.5126
Blended - 00097,Real Estate,US Bonds,0.2241
Blended - 00097,Real Estate,Real Estate,1.0
Blended - 00097,Real Estate,Commodities,0.2591
Blended - 00097,Commodities,US Equity,0.3007
Blended - 00097,Commodities,Int'l Equity,0.3607
Blended - 00097,Commodities,US Bonds,-0.0746
Blended - 00097,Commodities,Real Estate,0.2591
Blended - 00097,Commodities,Commodities,1.0
Blended - 00098,US Equity,US Equity,1.0
Blended - 00098,US Equity,Int'l Equity,0.8091
Blended - 00098,US Equity,US Bonds,
Blended - 00098,US Equity,Real Estate,0.5924
Blended - 00098,US Equity,Commodities,0.3183
Blended - 00098,Int'l Equity,US Equity,0.8091
Blended - 00098,Int'l Equity,Int'l Equity,1.0
Blended - 00098,Int'l Equity,US Bonds,
Blended - 00098,Int'l Equity,Real Estate,0.5368
Blended - 00098,Int'l Equity,Commodities,0.3759
Blended - 00098,US Bonds,US Equity,
Blended - 00098,US Bonds,Int'l Equity,
Blended - 00098,US Bonds,US Bonds,1.0
Blended - 00098,US Bonds,Real Estate,0.2031
Blended - 00098,US Bonds,Commodities,-0.1089
Blended - 00098,Real Estate,US Equity,0.5924
Blended - 00098,Real Estate,Int'l Equity,0.5368
Blended - 00098,Real Estate,US Bonds,0.2031
Blended - 00098,Real Estate,Real Estate,1.0
Blended - 00098,Real Estate,Commodities,0.2858
Blended - 00098,Commodities,US Equity,0.3183
Blended - 00098,Commodities,Int'l Equity,0.3759
Blended - 00098,Commodities,US Bonds,-0.1089
Blended - 00098,Commodities,Real Estate,0.2858
Blended - 00098,Commodities,Commodities,1.0
Blended - 00099,US Equity,US Equity,1.0
Blended - 00099,US Equity,Int'l Equity,0.7961
Blended - 00099,US Equity,US Bonds,
Blended - 00099,US Equity,Real Estate,0.5616
Blended - 00099,US Equity,Commodities,0.2761
Blended - 00099,Int'l Equity,US Equity,0.7961
Blended - 00099,Int'l Equity,Int'l Equity,1.0
Blended - 00099,Int'l Equity,US Bonds,
Blended - 00099,Int'l Equity,Real Estate,0.504
Blended - 00099,Int'l Equity,Commodities,0.3557
Blended - 00099,US Bonds,US Equity,
Blended - 00099,US Bonds,Int'l Equity,
Blended - 00099,US Bonds,US Bonds,1.0
Blended - 00099,US Bonds,Real Estate,0.2221
Blended - 00099,US Bonds,Commodities,-0.1388
Blended - 00099,Real Estate,US Equity,0.5616
Blended - 00099,Real Estate,Int'l Equity,0.504
Blended - 00099,Real Estate,US Bonds,0.2221
Blended - 00099,Real Estate,Real Estate,1.0
Blended - 00099,Real Estate,Commodities,0.2388
Blended - 00099,Commodities,US Equity,0.2761
Blended - 00099,Commodities,Int'l Equity,0.3557
Blended - 00099,Commodities,US Bonds,-0.1388
Blended - 00099,Commodities,Real Estate,0.2388
Blended - 00099,Commodities,Commodities,1.0
Blended - 00100,US Equity,US Equity,1.0
Blended - 00100,US Equity,Int'l Equity,0.8227
Blended - 00100,US Equity,US Bonds,
Blended - 00100,US Equity,Real Estate,0.5804
Blended - 00100,US Equity,Commodities,0.3202
Blended - 00100,Int'l Equity,US Equity,0.8227
Blended - 00100,Int'l Equity,Int'l Equity,1.0
Blended - 00100,Int'l Equity,US Bonds,
Blended - 00100,Int'l Equity,Real Estate,0.5189
Blended - 00100,Int'l Equity,Commodities,0.3524
Blended - 00100,US Bonds,US Equity,
Blended - 00100,US Bonds,Int'l Equity,
Blended - 00100,US Bonds,US Bonds,1.0
Blended - 00100,US Bonds,Real Estate,0.2066
Blended - 00100,US Bonds,Commodities,-0.1206
Blended - 00100,Real Estate,US Equity,0.5804
Blended - 00100,Real Estate,Int'l Equity,0.5189
Blended - 00100,Real Estate,US Bonds,0.2066
Blended - 00100,Real Estate,Real Estate,1.0
Blended - 00100,Real Estate,Commodities,0.298
Blended - 00100,Commodities,US Equity,0.3202
Blended - 00100,Commodities,Int'l Equity,0.3524
Blended - 00100,Commodities,US Bonds,-0.1206
Blended - 00100,Commodities,Real Estate,0.298
Blended - 00100,Commodities,Commodities,1.0
Blended - 00102,US Equity,US Equity,1.0
Blended - 00102,US Equity,Int'l Equity,0.8154
Blended - 00102,US Equity,US Bonds,
Blended - 00102,US Equity,Real Estate,0.6035
Blended - 00102,US Equity,Commodities,0.3496
Blended - 00102,Int'l Equity,US Equity,0.8154
Blended - 00102,Int'l Equity,Int'l Equity,1.0
Blended - 00102,Int'l Equity,US Bonds,
Blended - 00102,Int'l Equity,Real Estate,0.5528
Blended - 00102,Int'l Equity,Commodities,0.3947
Blended - 00102,US Bonds,US Equity,
Blended - 00102,US Bonds,Int'l Equity,
Blended - 00102,US Bonds,US Bonds,1.0
Blended - 00102,US Bonds,Real Estate,0.2213
Blended - 00102,US Bonds,Commodities,-0.1234
Blended - 00102,Real Estate,US Equity,0.6035
Blended - 00102,Real Estate,Int'l Equity,0.5528
Blended - 00102,Real Estate,US Bonds,0.2213
Blended - 00102,Real Estate,Real Estate,1.0
Blended - 00102,Real Estate,Commodities,0.2913
Blended - 00102,Commodities,US Equity,0.3496
Blended - 00102,Commodities,Int'l Equity,0.3947
Blended - 00102,Commodities,US Bonds,-0.1234
Blended - 00102,Commodities,Real Estate,0.2913
Blended - 00102,Commodities,Commodities,1.0
Blended - 00104,US Equity,US Equity,1.0
Blended - 00104,US Equity,Int'l Equity,0.849
Blended - 00104,US Equity,US Bonds,
Blended - 00104,US Equity,Real Estate,0.5754
Blended - 00104,US Equity,Commodities,0.3303
Blended - 00104,Int'l Equity,US Equity,0.849
Blended - 00104,Int'l Equity,Int'l Equity,1.0
Blended - 00104,Int'l Equity,US Bonds,
Blended - 00104,Int'l Equity,Real Estate,0.5369
Blended - 00104,Int'l Equity,Commodities,0.3971
Blended - 00104,US Bonds,US Equity,
Blended - 00104,US Bonds,Int'l Equity,
Blended - 00104,US Bonds,US Bonds,1.0
Blended - 00104,US Bonds,Real Estate,0.2147
Blended - 00104,US Bonds,Commodities,-0.1323
Blended - 00104,Real Estate,US Equity,0.5754
Blended - 00104,Real Estate,Int'l Equity,0.5369
Blended - 00104,Real Estate,US Bonds,0.2147
Blended - 00104,Real Estate,Real Estate,1.0
Blended - 00104,Real Estate,Commodities,0.2604
Blended - 00104,Commodities,US Equity,0.3303
Blended - 00104,Commodities,Int'l Equity,0.3971
Blended - 00104,Commodities,US Bonds,-0.1323
Blended - 00104,Commodities,Real Estate,0.2604
Blended - 00104,Commodities,Commodities,1.0
Blended - 00105,US Equity,US Equity,1.0
Blended - 00105,US Equity,Int'l Equity,0.8529
Blended - 00105,US Equity,US Bonds,
Blended - 00105,US Equity,Real Estate,0.5529
Blended - 00105,US Equity,Commodities,0.3052
Blended - 00105,Int'l Equity,US Equity,0.8529
Blended - 00105,Int'l Equity,Int'l Equity,1.0
Blended - 00105,Int'l Equity,US Bonds,
Blended - 00105,Int'l Equity,Real Estate,0.5247
Blended - 00105,Int'l Equity,Commodities,0.3934
Blended - 00105,US Bonds,US Equity,
Blended - 00105,US Bonds,Int'l Equity,
Blended - 00105,US Bonds,US Bonds,1.0
Blended - 00105,US Bonds,Real Estate,0.2608
Blended - 00105,US Bonds,Commodities,-0.111
Blended - 00105,Real Estate,US Equity,0.5529
Blended - 00105,Real Estate,Int'l Equity,0.5247
Blended - 00105,Real Estate,US Bonds,0.2608
Blended - 00105,Real Estate,Real Estate,1.0
Blended - 00105,Real Estate,Commodities,0.2375
Blended - 00105,Commodities,US Equity,0.3052
Blended - 00105,Commodities,Int'l Equity,0.3934
Blended - 00105,Commodities,US Bonds,-0.111
Blended - 00105,Commodities,Real Estate,0.2375
Blended - 00105,Commodities,Commodities,1.0
Blended - 00108,US Equity,US Equity,1.0
Blended - 00108,US Equity,Int'l Equity,0.8229
Blended - 00108,US Equity,US Bonds,
Blended - 00108,US Equity,Real Estate,0.5588
Blended - 00108,US Equity,Commodities,0.3074
Blended - 00108,Int'l Equity,US Equity,0.8229
Blended - 00108,Int'l Equity,Int'l Equity,1.0
Blended - 00108,Int'l Equity,US Bonds,
Blended - 00108,Int'l Equity,Real Estate,0.5085
Blended - 00108,Int'l Equity,Commodities,0.3758
Blended - 00108,US Bonds,US Equity,
Blended - 00108,US Bonds,Int'l Equity,
Blended - 00108,US Bonds,US Bonds,1.0
Blended - 00108,US Bonds,Real Estate,0.1814
Blended - 00108,US Bonds,Commodities,-0.0835
Blended - 00108,Real Estate,US Equity,0.5588
Blended - 00108,Real Estate,Int'l Equity,0.5085
Blended - 00108,Real Estate,US Bonds,0.1814
Blended - 00108,Real Estate,Real Estate,1.0
Blended - 00108,Real Estate,Commodities,0.2778
Blended - 00108,Commodities,US Equity,0.3074
Blended - 00108,Commodities,Int'l Equity,0.3758
Blended - 00108,Commodities,US Bonds,-0.0835
Blended - 00108,Commodities,Real Estate,0.2778
Blended - 00108,Commodities,Commodities,1.0
Blended - 00109,US Equity,US Equity,1.0
Blended - 00109,US Equity,Int'l Equity,0.8299
Blended - 00109,US Equity,US Bonds,
Blended - 00109,US Equity,Real Estate,0.5707
Blended - 00109,US Equity,Commodities,0.2883
Blended - 00109,Int'l Equity,US Equity,0.8299
Blended - 00109,Int'l Equity,Int'l Equity,1.0
Blended - 00109,Int'l Equity,US Bonds,
Blended - 00109,Int'l Equity,Real Estate,0.4884
Blended - 00109,Int'l Equity,Commodities,0.3742
Blended - 00109,US Bonds,US Equity,
Blended - 00109,US Bonds,Int'l Equity,
Blended - 00109,US Bonds,US Bonds,1.0
Blended - 00109,US Bonds,Real Estate,0.1808
Blended - 00109,US Bonds,Commodities,-0.0792
Blended - 00109,Real Estate,US Equity,0.5707
Blended - 00109,Real Estate,Int'l Equity,0.4884
Blended - 00109,Real Estate,US Bonds,0.1808
Blended - 00109,Real Estate,Real Estate,1.0
Blended - 00109,Real Estate,Commodities,0.2816
Blended - 00109,Commodities,US Equity,0.2883
Blended - 00109,Commodities,Int'l Equity,0.3742
Blended - 00109,Commodities,US Bonds,-0.0792
Blended - 00109,Commodities,Real Estate,0.2816
Blended - 00109,Commodities,Commodities,1.0
Blended - 00110,US Equity,US Equity,1.0
Blended - 00110,US Equity,Int'l Equity,0.7962
Blended - 00110,US Equity,US Bonds,
Blended - 00110,US Equity,Real Estate,0.5785
Blended - 00110,US Equity,Commodities,0.326
Blended - 00110,Int'l Equity,US Equity,0.7962
Blended - 00110,Int'l Equity,Int'l Equity,1.0
Blended - 00110,Int'l Equity,US Bonds,
Blended - 00110,Int'l Equity,Real Estate,0.521
Blended - 00110,Int'l Equity,Commodities,0.4097
Blended - 00110,US Bonds,US Equity,
Blended - 00110,US Bonds,Int'l Equity,
Blended - 00110,US Bonds,US Bonds,1.0
Blended - 00110,US Bonds,Real Estate,0.2187
Blended - 00110,US Bonds,Commodities,-0.099
Blended - 00110,Real Estate,US Equity,0.5785
Blended - 00110,Real Estate,Int'l Equity,0.521
Blended - 00110,Real Estate,US Bonds,0.2187
Blended - 00110,Real Estate,Real Estate,1.0
Blended - 00110,Real Estate,Commodities,0.2551
Blended - 00110,Commodities,US Equity,0.326
Blended - 00110,Commodities,Int'l Equity,0.4097
Blended - 00110,Commodities,US Bonds,-0.099
Blended - 00110,Commodities,Real Estate,0.2551
Blended - 00110,Commodities,Commodities,1.0
Blended - 00111,US Equity,US Equity,1.0
Blended - 00111,US Equity,Int'l Equity,0.8056
Blended - 00111,US Equity,US Bonds,
Blended - 00111,US Equity,Real Estate,0.566
Blended - 00111,US Equity,Commodities,0.3323
Blended - 00111,Int'l Equity,US Equity,0.8056
Blended - 00111,Int'l Equity,Int'l Equity,1.0
Blended - 00111,Int'l Equity,US Bonds,
Blended - 00111,Int'l Equity,Real Estate,0.5125
Blended - 00111,Int'l Equity,Commodities,0.3714
Blended - 00111,US Bonds,US Equity,
Blended - 00111,US Bonds,Int'l Equity,
Blended - 00111,US Bonds,US Bonds,1.0
Blended - 00111,US Bonds,Real Estate,0.2271
Blended - 00111,US Bonds,Commodities,-0.0815
Blended - 00111,Real Estate,US Equity,0.566
Blended - 00111,Real Estate,Int'l Equity,0.5125
Blended - 00111,Real Estate,US Bonds,0.2271
Blended - 00111,Real Estate,Real Estate,1.0
Blended - 00111,Real Estate,Commodities,0.2706
Blended - 00111,Commodities,US Equity,0.3323
Blended - 00111,Commodities,Int'l Equity,0.3714
Blended - 00111,Commodities,US Bonds,-0.0815
Blended - 00111,Commodities,Real Estate,0.2706
Blended - 00111,Commodities,Commodities,1.0
Blended - 00112,US Equity,US Equity,1.0
Blended - 00112,US Equity,Int'l Equity,0.8199
Blended - 00112,US Equity,US Bonds,
Blended - 00112,US Equity,Real Estate,0.5595
Blended - 00112,US Equity,Commodities,0.3163
Blended - 00112,Int'l Equity,US Equity,0.8199
Blended - 00112,Int'l Equity,Int'l Equity,1.0
Blended - 00112,Int'l Equity,US Bonds,
Blended - 00112,Int'l Equity,Real Estate,0.5019
Blended - 00112,Int'l Equity,Commodities,0.3895
Blended - 00112,US Bonds,US Equity,
Blended - 00112,US Bonds,Int'l Equity,
Blended - 00112,US Bonds,US Bonds,1.0
Blended - 00112,US Bonds,Real Estate,0.2241
Blended - 00112,US Bonds,Commodities,-0.1372
Blended - 00112,Real Estate,US Equity,0.5595
Blended - 00112,Real Estate,Int'l Equity,0.5019
Blended - 00112,Real Estate,US Bonds,0.2241
Blended - 00112,Real Estate,Real Estate,1.0
Blended - 00112,Real Estate,Commodities,0.2776
Blended - 00112,Commodities,US Equity,0.3163
Blended - 00112,Commodities,Int'l Equity,0.3895
Blended - 00112,Commodities,US Bonds,-0.1372
Blended - 00112,Commodities,Real Estate,0.2776
Blended - 00112,Commodities,Commodities,1.0
Blended - 00113,US Equity,US Equity,1.0
Blended - 00113,US Equity,Int'l Equity,0.8094
Blended - 00113,US Equity,US Bonds,
Blended - 00113,US Equity,Real Estate,0.56
Blended - 00113,US Equity,Commodities,0.3565
Blended - 00113,Int'l Equity,US Equity,0.8094
Blended - 00113,Int'l Equity,Int'l Equity,1.0
Blended - 00113,Int'l Equity,US Bonds,
Blended - 00113,Int'l Equity,Real Estate,0.5059
Blended - 00113,Int'l Equity,Commodities,0.3759
Blended - 00113,US Bonds,US Equity,
Blended - 00113,US Bonds,Int'l Equity,
Blended - 00113,US Bonds,US Bonds,1.0
Blended - 00113,US Bonds,Real Estate,0.2247
Blended - 00113,US Bonds,Commodities,-0.097
Blended - 00113,Real Estate,US Equity,0.56
Blended - 00113,Real Estate,Int'l Equity,0.5059
Blended - 00113,Real Estate,US Bonds,0.2247
Blended - 00113,Real Estate,Real Estate,1.0
Blended - 00113,Real Estate,Commodities,0.2706
Blended - 00113,Commodities,US Equity,0.3565
Blended - 00113,Commodities,Int'l Equity,0.3759
Blended - 00113,Commodities,US Bonds,-0.097
Blended - 00113,Commodities,Real Estate,0.2706
Blended - 00113,Commodities,Commodities,1.0
Blended - 00114,US Equity,US Equity,1.0
Blended - 00114,US Equity,Int'l Equity,0.8345
Blended - 00114,US Equity,US Bonds,
Blended - 00114,US Equity,Real Estate,0.5699
Blended - 00114,US Equity,Commodities,0.3015
Blended - 00114,Int'l Equity,US Equity,0.8345
Blended - 00114,Int'l Equity,Int'l Equity,1.0
Blended - 00114,Int'l Equity,US Bonds,
Blended - 00114,Int'l Equity,Real Estate,0.5049
Blended - 00114,Int'l Equity,Commodities,0.3824
Blended - 00114,US Bonds,US Equity,
Blended - 00114,US Bonds,Int'l Equity,
Blended - 00114,US Bonds,US Bonds,1.0
Blended - 00114,US Bonds,Real Estate,0.2271
Blended - 00114,US Bonds,Commodities,-0.0819
Blended - 00114,Real Estate,US Equity,0.5699
Blended - 00114,Real Estate,Int'l Equity,0.5049
Blended - 00114,Real Estate,US Bonds,0.2271
Blended - 00114,Real Estate,Real Estate,1.0
Blended - 00114,Real Estate,Commodities,0.3197
Blended - 00114,Commodities,US Equity,0.3015
Blended - 00114,Commodities,Int'l Equity,0.3824
Blended - 00114,Commodities,US Bonds,-0.0819
Blended - 00114,Commodities,Real Estate,0.3197
Blended - 00114,Commodities,Commodities,1.0
Blended - 00115,US Equity,US Equity,1.0
Blended - 00115,US Equity,Int'l Equity,0.8171
Blended - 00115,US Equity,US Bonds,
Blended - 00115,US Equity,Real Estate,0.5693
Blended - 00115,US Equity,Commodities,0.3546
Blended - 00115,Int'l Equity,US Equity,0.8171
Blended - 00115,Int'l Equity,Int'l Equity,1.0
Blended - 00115,Int'l Equity,US Bonds,
Blended - 00115,Int'l Equity,Real Estate,0.5332
Blended - 00115,Int'l Equity,Commodities,0.3707
Blended - 00115,US Bonds,US Equity,
Blended - 00115,US Bonds,Int'l Equity,
Blended - 00115,US Bonds,US Bonds,1.0
Blended - 00115,US Bonds,Real Estate,0.2655
Blended - 00115,US Bonds,Commodities,-0.1223
Blended - 00115,Real Estate,US Equity,0.5693
Blended - 00115,Real Estate,Int'l Equity,0.5332
Blended - 00115,Real Estate,US Bonds,0.2655
Blended - 00115,Real Estate,Real Estate,1.0
Blended - 00115,Real Estate,Commodities,0.2895
Blended - 00115,Commodities,US Equity,0.3546
Blended - 00115,Commodities,Int'l Equity,0.3707
Blended - 00115,Commodities,US Bonds,-0.1223
Blended - 00115,Commodities,Real Estate,0.2895
Blended - 00115,Commodities,Commodities,1.0
Blended - 00116,US Equity,US Equity,1.0
Blended - 00116,US Equity,Int'l Equity,0.8298
Blended - 00116,US Equity,US Bonds,
Blended - 00116,US Equity,Real Estate,0.5758
Blended - 00116,US Equity,Commodities,0.3163
Blended - 00116,Int'l Equity,US Equity,0.8298
Blended - 00116,Int'l Equity,Int'l Equity,1.0
Blended - 00116,Int'l Equity,US Bonds,
Blended - 00116,Int'l Equity,Real Estate,0.4957
Blended - 00116,Int'l Equity,Commodities,0.3915
Blended - 00116,US Bonds,US Equity,
Blended - 00116,US Bonds,Int'l Equity,
Blended - 00116,US Bonds,US Bonds,1.0
Blended - 00116,US Bonds,Real Estate,0.2116
Blended - 00116,US Bonds,Commodities,-0.151
Blended - 00116,Real Estate,US Equity,0.5758
Blended - 00116,Real Estate,Int'l Equity,0.4957
Blended - 00116,Real Estate,US Bonds,0.2116
Blended - 00116,Real Estate,Real Estate,1.0
Blended - 00116,Real Estate,Commodities,0.2965
Blended - 00116,Commodities,US Equity,0.3163
Blended - 00116,Commodities,Int'l Equity,0.3915
Blended - 00116,Commodities,US Bonds,-0.151
Blended - 00116,Commodities,Real Estate,0.2965
Blended - 00116,Commodities,Commodities,1.0
Blended - 00118,US Equity,US Equity,1.0
Blended - 00118,US Equity,Int'l Equity,0.8226
Blended - 00118,US Equity,US Bonds,
Blended - 00118,US Equity,Real Estate,0.5696
Blended - 00118,US Equity,Commodities,0.3053
Blended - 00118,Int'l Equity,US Equity,0.8226
Blended - 00118,Int'l Equity,Int'l Equity,1.0
Blended - 00118,Int'l Equity,US Bonds,
Blended - 00118,Int'l Equity,Real Estate,0.5356
Blended - 00118,Int'l Equity,Commodities,0.3497
Blended - 00118,US Bonds,US Equity,
Blended - 00118,US Bonds,Int'l Equity,
Blended - 00118,US Bonds,US Bonds,1.0
Blended - 00118,US Bonds,Real Estate,0.2475
Blended - 00118,US Bonds,Commodities,-0.0836
Blended - 00118,Real Estate,US Equity,0.5696
Blended - 00118,Real Estate,Int'l Equity,0.5356
Blended - 00118,Real Estate,US Bonds,0.2475
Blended - 00118,Real Estate,Real Estate,1.0
Blended - 00118,Real Estate,Commodities,0.263
Blended - 00118,Commodities,US Equity,0.3053
Blended - 00118,Commodities,Int'l Equity,0.3497
Blended - 00118,Commodities,US Bonds,-0.0836
Blended - 00118,Commodities,Real Estate,0.263
Blended - 00118,Commodities,Commodities,1.0
Blended - 00119,US Equity,US Equity,1.0
Blended - 00119,US Equity,Int'l Equity,0.8192
Blended - 00119,US Equity,US Bonds,
Blended - 00119,US Equity,Real Estate,0.5861
Blended - 00119,US Equity,Commodities,0.3078
Blended - 00119,Int'l Equity,US Equity,0.8192
Blended - 00119,Int'l Equity,Int'l Equity,1.0
Blended - 00119,Int'l Equity,US Bonds,
Blended - 00119,Int'l Equity,Real Estate,0.5314
Blended - 00119,Int'l Equity,Commodities,0.4025
Blended - 00119,US Bonds,US Equity,
Blended - 00119,US Bonds,Int'l Equity,
Blended - 00119,US Bonds,US Bonds,1.0
Blended - 00119,US Bonds,Real Estate,0.2326
Blended - 00119,US Bonds,Commodities,-0.1296
Blended - 00119,Real Estate,US Equity,0.5861
Blended - 00119,Real Estate,Int'l Equity,0.5314
Blended - 00119,Real Estate,US Bonds,0.2326
Blended - 00119,Real Estate,Real Estate,1.0
Blended - 00119,Real Estate,Commodities,0.2482
Blended - 00119,Commodities,US Equity,0.3078
Blended - 00119,Commodities,Int'l Equity,0.4025
Blended - 00119,Commodities,US Bonds,-0.1296
Blended - 00119,Commodities,Real Estate,0.2482
Blended - 00119,Commodities,Commodities,1.0
Blended - 00120,US Equity,US Equity,1.0
Blended - 00120,US Equity,Int'l Equity,0.8597
Blended - 00120,US Equity,US Bonds,
Blended - 00120,US Equity,Real Estate,0.5668
Blended - 00120,US Equity,Commodities,0.2934
Blended - 00120,Int'l Equity,US Equity,0.8597
Blended - 00120,Int'l Equity,Int'l Equity,1.0
Blended - 00120,Int'l Equity,US Bonds,
Blended - 00120,Int'l Equity,Real Estate,0.5444
Blended - 00120,Int'l Equity,Commodities,0.384
Blended - 00120,US Bonds,US Equity,
